PREC,TEMP,WIND_SPEED,RH,DMG
0.0,291.25,6.2,49.0,1
0.0,294.65,2.7,23.6,1
0.0,290.95,2.3,29.0,1
0.0,290.04999999999995,3.4,46.3,1
0.0,281.45,1.6,84.5,1
0.0,283.95,1.5,41.7,1
0.0,284.65,1.2,38.6,1
0.0,287.15,3.5,60.3,1
0.0,293.54999999999995,3.8,22.5,1
0.0,294.15,2.2,20.4,1
0.0,292.45,2.3,22.5,1
0.0,291.04999999999995,1.9,22.9,1
0.0,289.75,1.0,22.3,1
0.0,289.45,2.2,22.0,1
0.0,287.15,3.2,32.9,1
0.0,291.84999999999997,3.4,17.8,1
0.0,292.25,3.1,20.0,1
0.0,289.25,5.2,23.1,1
0.0,292.15,2.8,19.1,1
0.0,292.75,2.9,21.8,1
0.0,293.95,3.7,24.7,1
0.0,292.84999999999997,3.9,19.0,1
0.0,291.75,2.9,20.8,1
0.0,288.75,3.8,31.0,1
0.0,286.84999999999997,1.8,46.0,1
0.0,280.25,2.4,24.8,1
0.0,286.45,4.9,49.6,1
0.0,287.45,3.3,25.3,1
0.0,290.54999999999995,3.6,19.5,1
0.0,288.75,2.3,14.6,1
0.0,286.04999999999995,3.9,30.2,1
0.0,288.54999999999995,2.1,22.6,1
0.0,285.45,2.3,28.9,1
0.0,284.95,3.6,51.0,1
0.0,287.65,3.1,33.3,1
0.0,286.84999999999997,4.2,46.4,1
0.0,287.75,2.5,40.6,1
0.0,286.25,3.9,37.0,1
0.0,286.15,4.3,47.7,1
0.0,285.84999999999997,1.9,46.8,1
0.0,286.84999999999997,2.3,33.7,1
0.0,289.95,2.0,29.4,1
0.0,287.75,1.7,34.2,1
0.0,282.65,1.8,35.1,1
0.0,283.65,3.1,42.4,1
0.0,286.25,1.8,38.3,1
0.0,282.95,1.9,51.0,1
0.0,281.84999999999997,4.6,45.0,1
0.0,287.45,5.3,28.6,1
0.0,288.25,3.0,23.7,1
0.0,286.15,2.9,29.8,1
0.0,285.95,3.8,30.0,1
0.0,288.25,3.2,24.6,1
0.0,288.04999999999995,3.6,28.5,1
0.0,285.04999999999995,3.6,39.7,1
0.0,285.15,5.0,26.2,1
0.0,281.95,1.9,39.3,1
0.0,275.34999999999997,0.8,93.5,1
0.0,286.54999999999995,6.4,25.2,1
0.0,290.65,2.2,24.2,1
0.0,287.54999999999995,3.9,13.7,1
0.0,287.25,4.3,14.8,1
0.0,286.45,3.1,11.6,1
0.0,290.54999999999995,4.4,14.0,1
0.0,284.15,4.3,13.5,1
0.0,282.65,2.5,11.3,1
0.0,285.25,3.4,16.2,1
